brand,count
BFT Bahrendorf,1
Egenolf Freie TS,1
Avia Schmidt,1
Freie Tankstelle Bayer,1
Tankstelle Langwasser,1
DEMO Tank,1
TANKHOF RIEGEL Freie Tankst.,1
Fina,1
Profitank,1
 F T B,1
Bft Tankstelle Alte Huette,1
MOROF ,1
Tankstelle Reier,1
BFT Huddelbusch,1
bft - Freie Tankstelle,1
Tankstelle am Kraftwerk,1
BfT Tankstelle,1
Freie Tankstelle Herbert Klink,1
Argos Tankstelle,1
centertank,1
Mtb - Filderstadt  Ford-Stauch,1
AUTO ZOTZ Herxheim b.LD.       Tanken an L.493,1
MTB Tankstelle Saarbrücken,1
TS Karmann tanken & mehr,1
BFT - Freie Tankstelle,1
Tankstelle am Osterkanal,1
C&S,1
Deglmann Tankcenter,1
Autohaus Hackmann,1
Tankstelle Lösenbach,1
Sauerwald,1
Fip Tankcenter Laggenbeck,1
Wurzer R. - Freie Tankstelle,1
Schäfer,1
bft Pyrbaum,1
Freie Tankstelle Böttcher,1
Harting - Freie Tankstelle,1
mtb,1
Georg Heinlein GmbH (FT),1
Freie Tankstelle Loder,1
bft Wilstacke + Growe,1
Autohaus Nachtmann,1
Börde Tanke,1
TOP,1
Zander,1
Freie Tankstelle Meyer ,1
Freie Tankstelle Witzel,1
Freie Tankstelle Baumann,1
Freie Tankstellen Spathelf,1
TANKTREFF KREMPERHEIDE,1
OTTO HATTENDORF GmbH,1
FT Freie Tankstelle,1
Tankstelle Autohaus Meiners,1
bft-Tankstelle Vogl,1
Freie Tankstelle Schmelzer,1
Freie Tankstelle Bißlich,1
Tank und Waschservice Schuch,1
Meiers39,1
Autohaus Knöpfle,1
Hüter Einkaufszentrum,1
classic,1
Tankstelle Kuhn,1
Freie Tankstelle GS Tank Schmidt,1
TINQ,1
Freie Tankstelle Salewski,1
Classic Knoll,1
Tankhof Anders,1
Tankstelle Dreyer,1
CARL MENNER,1
TANKHOF STEINHEIM,1
VELA-Tankstelle,1
TEC,1
Albert Beck,1
Eberhardt Forst,1
A. Kuenstler GmbH,1
AUTO ZOTZ Landau in der Pfalz   Tanken und waschen,1
Freie Tankstelle Hans Hummel,1
Ludwig Mineralöle,1
Tankstelle  Ruehl,1
Freie Tankstelle Behrends,1
Reitmayr TS,1
E+C,1
Josef Höckelmann,1
Kaiser/Freie-24h-Tankstelle,1
Kaiser Freie Tankstelle/Shop,1
Oel - Heim,1
Autohaus Richt Ohg,1
Auto-Kohler KG ,1
Autohaus Wankmüller GmbH,1
Tank- und Waschpark Lahr,1
Zehner Energie GmbH,1
GVS,1
Tankstelle Schreyer,1
